date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:18	2781/2781	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:32%20GMT	http://statfa.net/landing/identity/js/jquery.fitvids.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.fitvids.js	(from )
21:58:19	93107/93107	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:30%20GMT	http://statfa.net/landing/identity/js/jquery-1.10.2.min.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery-1.10.2.min.js	(from )
21:58:21	51299/51299	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:31%20GMT	http://statfa.net/landing/identity/js/jquery.cycle.all.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.cycle.all.js	(from )
21:58:22	21377/21377	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:35%20GMT	http://statfa.net/landing/identity/js/jquery.maximage.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.maximage.js	(from )
21:58:23	2602/2602	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:28%20GMT	http://statfa.net/landing/identity/js/jquery-countTo.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery-countTo.js	(from )
21:58:23	8044/8044	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:43%20GMT	http://statfa.net/landing/identity/js/waypoints.min.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/waypoints.min.js	(from )
21:58:24	3920/3920	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:26%20GMT	http://statfa.net/landing/identity/js/easyPieChart.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/easyPieChart.js	(from )
21:58:25	41969/41969	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:42%20GMT	http://statfa.net/landing/identity/js/swiper.min.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/swiper.min.js	(from )
21:58:26	16033/16033	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:33%20GMT	http://statfa.net/landing/identity/js/jquery.isotope.min.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.isotope.min.js	(from )
21:58:26	11276/11276	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:41%20GMT	http://statfa.net/landing/identity/js/smoothscroll.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/smoothscroll.js	(from )
21:58:27	10188/10188	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:41%20GMT	http://statfa.net/landing/identity/js/skrollr.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/skrollr.js	(from )
21:58:28	1893/1893	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2021:33:23%20GMT	http://statfa.net/landing/identity/js/gmap-settings.js?map=true	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/gmap-settingsdae0.js	(from )
21:58:30	9152/9152	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20May%202014%2005:51:22%20GMT	http://statfa.net/landing/identity/js/script.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/script.js	(from )
21:58:30	21078/21078	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:39%20GMT	http://statfa.net/landing/identity/js/jquery.validate.min.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.validate.min.js	(from )
21:58:34	56878/56878	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Apr%202014%2019:49:37%20GMT	http://statfa.net/landing/identity/js/jquery.nicescroll.min.js	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/js/jquery.nicescroll.min.js	(from )
21:58:36	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2022%20Apr%202014%2015:08:53%20GMT	http://statfa.net/landing/identity/fonts/fontawesome-webfont.eot?v=4.0.3	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/fonts/fontawesome-webfontba72.eot	(from http://statfa.net/landing/identity/index-1.html)
21:58:37	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2022%20Apr%202014%2015:08:53%20GMT	http://statfa.net/landing/identity/fonts/fontawesome-webfont.eot?	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/fonts/fontawesome-webfontd41d.eot	(from http://statfa.net/landing/identity/index-1.html)
21:58:41	202148/202148	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2022%20Apr%202014%2015:09:01%20GMT	http://statfa.net/landing/identity/fonts/fontawesome-webfont.svg?v=4.0.3	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/fonts/fontawesome-webfontba72.svg	(from http://statfa.net/landing/identity/index-1.html)
21:58:43	44432/44432	---M--	200	added ('OK')	application/x-font-woff	date:Tue,%2022%20Apr%202014%2015:08:56%20GMT	http://statfa.net/landing/identity/fonts/fontawesome-webfont.woff?v=4.0.3	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/fonts/fontawesome-webfontba72.woff	(from http://statfa.net/landing/identity/index-1.html)
21:58:44	118/118	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:28:29%20GMT	http://statfa.net/landing/identity/img/overlay.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/overlay.png	(from http://statfa.net/landing/identity/index-1.html)
21:58:45	926/926	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:48:10%20GMT	http://statfa.net/landing/identity/img/overlay-video.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/overlay-video.png	(from http://statfa.net/landing/identity/index-1.html)
21:58:45	24372/24372	---M--	200	added ('OK')	image/gif	date:Tue,%2029%20Apr%202014%2015:28:31%20GMT	http://statfa.net/landing/identity/img/preloader.gif	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/preloader.gif	(from http://statfa.net/landing/identity/index-1.html)
21:58:46	1275/1275	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:28:27%20GMT	http://statfa.net/landing/identity/img/left-arrow.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/left-arrow.png	(from http://statfa.net/landing/identity/index-1.html)
21:58:47	1273/1273	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:28:30%20GMT	http://statfa.net/landing/identity/img/right-arrow.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/right-arrow.png	(from http://statfa.net/landing/identity/index-1.html)
21:58:47	14260/14260	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Apr%202014%2015:28:32%20GMT	http://statfa.net/landing/identity/img/timeline-bg.jpg	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/timeline-bg.jpg	(from http://statfa.net/landing/identity/index-1.html)
21:58:48	1516/1516	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Apr%202014%2015:28:31%20GMT	http://statfa.net/landing/identity/img/slider_controls.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/img/slider_controls.png	(from http://statfa.net/landing/identity/index-1.html)
21:58:49	80652/80652	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2022%20Apr%202014%2015:08:58%20GMT	http://statfa.net/landing/identity/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/fonts/fontawesome-webfontba72.ttf	(from http://statfa.net/landing/identity/index-1.html)
21:58:49	382594/382594	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jul%202014%2014:00:29%20GMT	http://statfa.net/landing/identity/images/clients.png	C:/Mes%20Sites%20Web/identity%20personnal/statfa.net/landing/identity/images/clients.png	(from )
